"","Kode","mean.DO","se.DO","mean.pH","se.pH","mean.TSS","mean.Konduktivitas","se.Konduktivitas","mean.COD","se.COD","mean.Cr","se.Cr","mean.S","se.S","mean.Fenol","se.Fenol","mean.Lemak","se.Lemak","mean.Nitrat","se.Nitrat","mean.BOD","se.BOD"
"1","A",0.71,1.20208152801713,5.35,0.240416305603426,11.97,0.66,0.0282842712474619,1570,56.5685424949238,41.335,2.3546655813512,1008.035,203.597255507043,7.69,0.367695526217005,0.055,0.0212132034355964,1.06,0.0707106781186548,277.5,3.53553390593274
"2","B",0.375,1.32936074863071,7.185,3.21733585439879,12.64,1.98,1.4142135623731,1287.5,1014.6982310027,38.165,0.898025612106913,608.93,494.01308160817,5.985,0.134350288425444,0.06,0.0565685424949238,0.865,0.0212132034355964,271,15.556349186104
"3","C",0.025,0.537401153701777,5.225,0.346482322781408,11.5,0.51,0.0707106781186548,1807.5,1127.83531599254,31.065,0.374766594028868,1267.63,277.892965006313,7.125,0.162634559672906,0.755,0.0212132034355964,1.015,0.106066017177982,291.5,2.12132034355964
"4","D",0.03,0.12727922061358,5.41,0.226274169979695,11.79,0.57,0.240416305603426,920,127.279220613579,45.465,2.92035100630044,768.785,312.618979030385,10.445,0.289913780286485,0.72,0.791959594928933,1.545,0.0777817459305203,291,5.6843418860808e-14
